Species2,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Lonchura pallida,Estrildidae,Passeriformes,AVIBASE-E25374DB,9,3,3,3,7.0,11.7,8.4,6.8,7.7,14.7,52.1,12.3,39.6,23.8,34.7,12.0,Updated_literature,BoW,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Generalist
Lonchura punctulata,Estrildidae,Passeriformes,AVIBASE-6D4F72B1,31,4,9,18,12.0,11.8,8.8,6.7,7.5,14.0,52.6,11.9,42.4,22.0,39.0,13.6,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Granivore,Generalist
Lonchura quinticolor,Estrildidae,Passeriformes,AVIBASE-497038CC,5,2,1,2,5.0,13.5,9.3,7.0,8.0,15.8,54.5,12.6,41.9,23.0,39.8,13.3,EltonTraits_GenAvg,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Insessorial
Lonchura spectabilis,Estrildidae,Passeriformes,AVIBASE-5E0856C9,5,2,3,0,4.0,11.5,7.9,5.9,7.5,15.0,49.1,10.8,38.4,21.9,33.6,11.5,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Generalist
Lonchura striata,Estrildidae,Passeriformes,AVIBASE-22BE6FC5,13,8,5,0,12.0,12.0,8.3,6.7,7.8,13.1,50.7,10.6,40.1,20.9,39.8,12.3,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Insessorial
Lonchura stygia,Estrildidae,Passeriformes,AVIBASE-D8C80CAF,3,1,2,0,3.0,11.9,8.3,6.7,8.0,15.3,51.2,10.4,40.7,20.4,37.0,11.2,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Insessorial
Lonchura teerinki,Estrildidae,Passeriformes,AVIBASE-34A03C70,1,0,1,0,1.0,11.2,7.7,6.5,7.6,16.5,49.5,8.5,41.0,17.2,39.5,13.3,EltonTraits_GenAvg,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Insessorial
Lonchura vana,Estrildidae,Passeriformes,AVIBASE-D6BEA296,1,0,1,0,1.0,9.5,6.7,5.8,6.9,10.9,49.0,7.8,41.2,15.9,36.0,13.3,EltonTraits_GenAvg,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Generalist
Mandingoa nitidula,Estrildidae,Passeriformes,AVIBASE-1A6B766A,13,7,5,1,9.0,10.2,7.2,4.6,5.0,14.1,50.5,9.7,39.9,19.6,33.6,9.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial
Mayrimunia leucosticta,Estrildidae,Passeriformes,AVIBASE-10A9A1D5,1,0,1,0,1.0,11.9,8.8,5.9,6.7,13.0,48.0,9.9,38.1,20.6,44.0,13.3,EltonTraits_GenAvg,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Generalist
Mayrimunia tristissima,Estrildidae,Passeriformes,AVIBASE-47BB39B6,4,2,2,0,4.0,11.0,7.4,5.8,6.6,13.2,49.4,11.9,37.5,24.1,38.4,8.8,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Generalist
Neochmia phaeton,Estrildidae,Passeriformes,AVIBASE-F8A8E284,9,4,5,0,4.0,11.8,8.1,5.7,7.1,15.1,50.7,6.9,44.0,13.6,61.8,10.0,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Generalist
Neochmia temporalis,Estrildidae,Passeriformes,AVIBASE-4359B503,15,7,8,0,4.0,10.8,7.6,5.3,6.3,15.3,52.0,11.2,42.0,21.1,48.4,11.4,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial
Nesocharis ansorgei,Estrildidae,Passeriformes,AVIBASE-99453701,1,0,1,0,1.0,10.6,7.1,5.2,6.0,13.6,48.0,9.0,39.0,18.8,39.0,8.4,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Insessorial
Nesocharis shelleyi,Estrildidae,Passeriformes,AVIBASE-BD9A8EF4,5,2,3,0,3.0,9.0,6.8,4.2,4.7,14.3,43.2,6.4,36.6,14.9,27.0,7.6,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial
Nigrita bicolor,Estrildidae,Passeriformes,AVIBASE-AD1CBF5A,11,2,3,6,5.0,10.1,7.1,4.9,4.6,15.3,57.1,9.4,46.6,16.8,41.9,10.5,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial
Nigrita canicapillus,Estrildidae,Passeriformes,AVIBASE-B15F4C49,25,8,14,3,11.0,13.5,9.6,6.2,5.8,16.1,68.2,13.9,53.9,20.5,47.9,18.7,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial
Nigrita fusconotus,Estrildidae,Passeriformes,AVIBASE-F3B46894,14,4,10,0,9.0,10.5,7.2,4.0,3.7,13.9,52.6,10.8,41.7,20.5,40.9,9.1,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial
Nigrita luteifrons,Estrildidae,Passeriformes,AVIBASE-AE4727FB,10,2,8,0,9.0,11.1,7.4,4.8,5.1,15.4,58.1,11.0,47.0,19.0,38.4,13.2,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial
Oreostruthus fuliginosus,Estrildidae,Passeriformes,AVIBASE-069E414F,4,0,4,0,4.0,11.1,7.5,5.8,7.2,21.2,66.6,8.9,57.7,13.3,47.1,18.3,Dunning,NA,NO,NA,NA,Woodland,2,2,Herbivore,Granivore,Generalist
Ortygospiza atricollis,Estrildidae,Passeriformes,AVIBASE-8E5252EB,14,6,8,0,12.0,9.9,6.3,4.4,5.5,14.5,51.1,9.3,41.4,18.3,31.2,10.6,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Terrestrial
Padda fuscata,Estrildidae,Passeriformes,AVIBASE-BBD0A638,4,1,2,1,4.0,14.1,10.2,6.7,8.2,17.7,61.8,13.9,47.8,22.6,49.1,20.7,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Padda oryzivora,Estrildidae,Passeriformes,AVIBASE-549BEA0C,5,2,3,0,4.0,15.8,11.9,8.7,10.1,18.3,68.7,15.5,53.4,22.5,50.3,24.8,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Generalist
Paludipasser locustella,Estrildidae,Passeriformes,AVIBASE-EF6293B7,4,2,2,0,4.0,9.1,5.2,3.8,5.0,15.5,44.5,6.4,38.0,14.5,30.0,10.6,Inferred,NA,YES,Body Mass,Ortygospiza atricollis,Grassland,3,1,Herbivore,Granivore,Terrestrial
Parmoptila jamesoni,Estrildidae,Passeriformes,AVIBASE-39D5C361,5,3,2,0,4.0,11.5,7.9,3.9,3.5,14.6,51.2,7.0,44.2,13.6,38.2,9.5,Dunning,NA,NO,NA,NA,Forest,2,2,Carnivore,Invertivore,Insessorial
Parmoptila rubrifrons,Estrildidae,Passeriformes,AVIBASE-6B6E52A1,3,1,1,1,2.0,11.3,6.8,3.6,3.2,13.0,46.5,6.4,40.0,13.9,36.5,9.5,Dunning,NA,NO,NA,NA,Forest,2,2,Carnivore,Invertivore,Insessorial
Parmoptila woodhousei,Estrildidae,Passeriformes,AVIBASE-06C33419,12,3,8,1,4.0,11.1,7.6,4.1,3.4,13.5,50.2,6.3,43.9,12.6,39.6,9.4,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Invertivore,Insessorial
Poephila acuticauda,Estrildidae,Passeriformes,AVIBASE-1C1BB52B,8,3,5,0,4.0,11.6,8.4,6.4,6.8,14.9,58.9,12.6,45.4,21.8,84.9,14.0,Dunning,NA,NO,NA,NA,Grassland,3,2,Herbivore,Granivore,Generalist
Poephila cincta,Estrildidae,Passeriformes,AVIBASE-72840F17,10,5,5,0,4.0,11.3,7.7,5.9,6.6,15.1,59.0,13.9,43.9,24.1,37.3,14.9,Dunning,NA,NO,NA,NA,Shrubland,2,2,Herbivore,Granivore,Terrestrial
Poephila personata,Estrildidae,Passeriformes,AVIBASE-6642D95D,8,4,4,0,4.0,11.5,8.6,6.1,7.4,15.1,58.6,14.3,44.9,24.2,52.5,13.0,Dunning,NA,NO,NA,NA,Woodland,3,2,Herbivore,Granivore,Generalist
Pyrenestes minor,Estrildidae,Passeriformes,AVIBASE-A24ED820,4,2,2,0,4.0,11.3,7.9,5.8,8.2,16.2,59.2,9.3,50.0,15.7,53.2,14.0,Updated_literature,BoW,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Generalist
Pyrenestes ostrinus,Estrildidae,Passeriformes,AVIBASE-2CC91390,5,2,3,0,5.0,15.1,10.5,8.4,11.3,18.4,65.4,11.5,53.9,17.6,53.8,22.4,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Generalist
Pyrenestes sanguineus,Estrildidae,Passeriformes,AVIBASE-E617A8C3,6,3,3,0,4.0,13.6,9.7,7.0,9.7,18.4,60.0,10.6,50.1,17.4,48.3,19.2,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Generalist
Pytilia afra,Estrildidae,Passeriformes,AVIBASE-6A1ED1C2,12,4,6,2,10.0,11.7,8.0,5.5,5.8,16.0,62.8,11.2,51.9,17.9,35.2,16.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Pytilia hypogrammica,Estrildidae,Passeriformes,AVIBASE-1AAAEAFD,5,2,3,0,4.0,11.9,8.5,5.5,5.4,16.0,55.2,8.2,46.3,15.0,34.2,14.8,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial
Pytilia lineata,Estrildidae,Passeriformes,AVIBASE-2F790B56,4,1,3,0,4.0,13.2,8.2,5.6,5.2,16.6,56.5,10.0,46.5,17.7,35.0,14.3,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Omnivore,Terrestrial
Pytilia melba,Estrildidae,Passeriformes,AVIBASE-01A3BE3C,5,2,3,0,4.0,13.4,9.1,5.0,5.9,16.7,56.6,5.8,50.7,10.2,47.4,15.4,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Pytilia phoenicoptera,Estrildidae,Passeriformes,AVIBASE-C7891867,4,2,2,0,3.0,11.9,7.7,5.3,5.3,15.4,55.2,10.2,45.1,18.4,38.5,14.5,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial
Spermestes bicolor,Estrildidae,Passeriformes,AVIBASE-E358EC8A,18,8,10,0,8.0,10.5,8.1,5.7,6.9,12.5,48.4,10.6,37.8,21.8,33.5,9.9,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Insessorial
Spermestes cucullata,Estrildidae,Passeriformes,AVIBASE-142E4CB7,21,8,8,5,8.0,9.6,6.9,5.2,6.3,12.7,48.4,10.4,38.1,21.4,31.3,9.0,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial
Spermestes fringilloides,Estrildidae,Passeriformes,AVIBASE-64E386FE,5,2,3,0,4.0,17.0,12.2,7.6,8.9,13.7,56.9,14.8,42.3,25.9,37.0,16.8,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Insessorial
Spermestes griseicapilla,Estrildidae,Passeriformes,AVIBASE-7D6F12FE,5,2,3,0,4.0,11.0,8.2,6.3,8.0,15.6,59.9,12.8,47.1,21.3,46.5,15.0,Updated_literature,BoW,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Spermophaga haematina,Estrildidae,Passeriformes,AVIBASE-3817DA4A,38,16,17,5,17.0,16.1,11.6,8.7,10.3,21.8,67.7,7.3,58.6,11.1,54.0,23.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial
Spermophaga poliogenys,Estrildidae,Passeriformes,AVIBASE-AEAD40DD,4,1,3,0,4.0,15.2,10.5,6.7,9.2,19.7,67.2,8.3,59.0,12.3,52.0,19.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Insessorial
Spermophaga ruficapilla,Estrildidae,Passeriformes,AVIBASE-46A1FC77,14,6,8,0,9.0,16.0,11.3,8.6,10.6,21.7,69.3,6.7,62.5,9.7,57.0,23.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Insessorial
Stagonopleura bella,Estrildidae,Passeriformes,AVIBASE-82ABFD7F,8,4,4,0,4.0,12.3,8.7,6.2,7.0,17.2,57.2,11.0,46.9,19.0,48.5,14.0,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Generalist
Stagonopleura guttata,Estrildidae,Passeriformes,AVIBASE-00AF5DA1,11,5,6,0,4.0,10.6,8.1,6.1,6.4,16.2,66.0,17.9,48.8,26.9,39.5,17.6,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial
Stagonopleura oculata,Estrildidae,Passeriformes,AVIBASE-AA0BCF4A,10,5,5,0,4.0,10.8,9.4,5.8,7.3,16.7,55.4,9.8,45.5,17.7,46.9,12.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Insessorial
Stizoptera bichenovii,Estrildidae,Passeriformes,AVIBASE-4DF9C4F6,9,3,6,0,4.0,9.7,6.9,5.2,6.0,13.5,50.9,9.1,42.0,17.8,44.2,9.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Taeniopygia guttata,Estrildidae,Passeriformes,AVIBASE-C532D642,17,9,8,0,7.0,10.6,7.1,5.7,6.5,13.3,54.1,11.2,39.2,22.2,35.1,12.0,Dunning,NA,NO,NA,NA,Grassland,2,2,Herbivore,Granivore,Terrestrial
Uraeginthus angolensis,Estrildidae,Passeriformes,AVIBASE-B40A6BCD,5,3,2,0,4.0,9.2,7.2,4.7,5.4,12.9,50.4,7.4,43.3,14.7,45.6,9.9,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Granivore,Terrestrial
Uraeginthus bengalus,Estrildidae,Passeriformes,AVIBASE-EAE77D96,14,8,6,0,9.0,10.0,7.5,4.7,5.2,13.9,52.5,8.0,44.5,15.3,53.8,9.9,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Uraeginthus cyanocephalus,Estrildidae,Passeriformes,AVIBASE-5CAE6778,5,2,3,0,4.0,10.9,7.5,5.0,5.6,14.5,54.1,9.2,44.4,17.2,58.0,9.8,Dunning,NA,NO,NA,NA,Desert,3,1,Herbivore,Granivore,Terrestrial
Eulacestoma nigropectus,Eulacestomatidae,Passeriformes,AVIBASE-936EA207,4,2,2,0,4.0,15.2,7.3,3.9,8.4,19.0,69.4,9.2,60.2,13.2,51.8,20.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Eupetes macrocerus,Eupetidae,Passeriformes,AVIBASE-BC5165E4,8,1,2,5,4.0,29.2,14.4,4.8,4.8,44.1,98.4,3.8,90.5,4.0,114.6,69.0,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Corydon sumatranus,Eurylaimidae,Passeriformes,AVIBASE-BB1E6094,15,9,3,3,10.0,27.4,18.9,20.6,15.7,25.4,131.1,28.1,103.5,21.4,92.1,140.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Cymbirhynchus macrorhynchos,Eurylaimidae,Passeriformes,AVIBASE-2F81A394,9,2,3,4,4.0,26.2,15.7,13.6,12.6,24.8,101.4,21.6,81.7,21.0,83.4,59.4,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial
Eurylaimus javanicus,Eurylaimidae,Passeriformes,AVIBASE-07D343CC,7,1,1,5,4.0,28.6,19.7,16.9,11.5,25.0,103.9,21.6,82.9,20.9,58.8,78.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Eurylaimus ochromalus,Eurylaimidae,Passeriformes,AVIBASE-C429744B,8,1,7,0,4.0,20.4,13.7,12.3,8.0,20.5,78.8,18.3,61.0,22.9,47.8,33.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Psarisomus dalhousiae,Eurylaimidae,Passeriformes,AVIBASE-63944E03,13,4,9,0,4.0,19.5,15.5,12.8,9.8,25.1,101.3,16.4,83.5,17.1,128.1,67.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Pseudocalyptomena graueri,Eurylaimidae,Passeriformes,AVIBASE-B8AE6DAF,1,1,0,0,1.0,11.2,6.8,6.6,4.4,19.1,63.0,13.4,49.6,21.3,38.0,31.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial
Sarcophanops samarensis,Eurylaimidae,Passeriformes,AVIBASE-11167D53,5,1,1,3,4.0,31.6,16.8,19.3,14.4,27.3,129.4,26.3,100.9,20.7,82.0,27.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Sarcophanops steerii,Eurylaimidae,Passeriformes,AVIBASE-600D1A1F,7,2,5,0,4.0,22.1,15.0,12.7,8.7,21.4,80.7,17.1,62.1,21.9,56.5,38.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Serilophus lunatus,Eurylaimidae,Passeriformes,AVIBASE-C1413BA8,8,2,3,3,4.0,15.6,11.1,9.6,6.6,17.5,83.4,15.8,65.7,19.5,59.4,34.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Falcunculus frontatus,Falcunculidae,Passeriformes,AVIBASE-BB9E2CA5,15,7,8,0,4.0,19.7,10.2,5.4,10.5,20.9,89.8,19.5,72.6,21.1,78.1,27.9,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Insessorial
Chamaeza campanisona,Formicariidae,Passeriformes,AVIBASE-D4FBD3C4,16,5,9,2,5.0,24.0,13.3,5.7,6.4,38.2,97.7,13.8,83.2,14.2,63.8,90.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Chamaeza meruloides,Formicariidae,Passeriformes,AVIBASE-CEF62826,4,3,0,1,4.0,18.6,10.6,5.5,5.5,36.7,87.0,11.6,75.4,13.3,72.0,69.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Chamaeza mollissima,Formicariidae,Passeriformes,AVIBASE-B32FC59B,7,4,2,1,4.0,20.7,11.5,5.5,5.4,37.1,89.5,11.8,79.3,12.9,66.2,72.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Chamaeza nobilis,Formicariidae,Passeriformes,AVIBASE-37339289,12,4,6,2,8.0,25.1,14.2,6.9,7.3,39.1,106.0,16.4,88.8,15.6,59.4,123.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Chamaeza ruficauda,Formicariidae,Passeriformes,AVIBASE-E8795B6F,5,1,2,2,4.0,18.8,11.3,5.3,5.5,36.2,87.9,13.2,75.9,14.8,74.9,71.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Chamaeza turdina,Formicariidae,Passeriformes,AVIBASE-588B7DC5,7,2,3,2,6.0,20.6,12.4,5.8,5.8,36.7,89.0,12.5,76.4,13.9,64.0,68.3,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Formicarius analis,Formicariidae,Passeriformes,AVIBASE-7E4EE12D,30,4,20,6,12.0,21.8,13.4,5.6,6.0,32.4,89.3,14.8,74.6,16.6,56.8,62.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Formicarius colma,Formicariidae,Passeriformes,AVIBASE-4564EA5A,13,4,5,4,4.0,21.5,12.1,5.1,5.3,29.9,85.0,16.3,69.3,19.0,53.4,47.0,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Formicarius moniliger,Formicariidae,Passeriformes,AVIBASE-9E2E1D37,11,1,7,3,4.0,22.7,14.2,5.7,6.0,31.1,87.5,10.0,71.9,12.4,55.1,61.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Formicarius nigricapillus,Formicariidae,Passeriformes,AVIBASE-7E82BA92,6,2,4,0,4.0,24.7,14.8,5.8,6.7,31.3,85.6,10.7,74.5,12.6,49.8,56.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Formicarius rufifrons,Formicariidae,Passeriformes,AVIBASE-796D73FB,3,1,2,0,3.0,20.6,12.3,5.7,6.3,32.2,84.0,10.5,73.5,12.5,63.3,55.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Formicarius rufipectus,Formicariidae,Passeriformes,AVIBASE-54D73240,5,0,4,1,4.0,26.8,13.5,5.7,6.6,36.5,92.0,11.8,80.3,12.7,55.4,74.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial
Acanthis cabaret,Fringillidae,Passeriformes,AVIBASE-D41F1614,1,0,1,0,0.0,10.7,7.8,4.8,5.8,14.2,72.0,25.0,50.7,33.1,58.0,12.0,Updated_literature,Dunning (2021),YES,Beak Nares; Kipp's Distance; Secondary1; Hand-Wing Index,Acanthis flammea (sensu lato),Forest,1,2,Herbivore,Granivore,Generalist
Acanthis flammea,Fringillidae,Passeriformes,AVIBASE-A2BB98A9,1,0,1,0,0.0,11.4,7.8,4.5,6.5,15.6,75.5,23.5,52.0,31.1,58.7,13.0,Dunning,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Tail Length,Acanthis flammea (sensu lato),Forest,1,2,Herbivore,Granivore,Generalist
Acanthis hornemanni,Fringillidae,Passeriformes,AVIBASE-D23A3F75,1,0,1,0,0.0,12.1,7.8,5.4,7.0,16.8,84.0,25.0,50.7,33.1,65.0,13.9,Updated_literature,Dunning (2021),YES,Beak Length; Kipp's Distance; Secondary1; Hand-Wing Index,Acanthis flammea (sensu lato),Forest,1,2,Herbivore,Granivore,Generalist
Agraphospiza rubescens,Fringillidae,Passeriformes,AVIBASE-A8EC7456,5,2,3,0,4.0,13.4,9.1,6.7,7.1,17.6,76.9,21.2,55.1,27.7,59.4,19.0,Inferred,NA,YES,Body Mass,Pyrrhoplectes epauletta,Forest,2,1,Herbivore,Granivore,Terrestrial
Bucanetes githagineus,Fringillidae,Passeriformes,AVIBASE-8049F707,5,2,3,0,4.0,11.3,7.6,6.5,8.8,16.2,81.9,28.6,53.3,34.8,53.1,19.6,Dunning,NA,NO,NA,NA,Desert,3,2,Herbivore,Granivore,Terrestrial
Bucanetes mongolicus,Fringillidae,Passeriformes,AVIBASE-B8FE90AC,5,2,3,0,4.0,11.1,7.4,5.1,7.4,18.1,84.8,27.2,57.8,32.0,59.8,21.5,Dunning,NA,NO,NA,NA,Desert,3,2,Herbivore,Granivore,Terrestrial
Callacanthis burtoni,Fringillidae,Passeriformes,AVIBASE-0134A6D7,5,2,3,0,4.0,16.4,11.4,8.4,9.4,19.4,97.3,27.6,69.0,28.5,69.4,38.1,Inferred,NA,YES,Body Mass,Rhodopechys sanguineus,Forest,1,1,Herbivore,Granivore,Terrestrial
Carduelis carduelis,Fringillidae,Passeriformes,AVIBASE-1B235E00,30,11,19,0,12.0,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16.0,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Insessorial
Carduelis citrinella,Fringillidae,Passeriformes,AVIBASE-039E0011,11,4,7,0,4.0,10.8,7.2,4.5,5.4,14.7,77.4,23.5,54.0,30.3,53.3,12.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Generalist
Carduelis corsicana,Fringillidae,Passeriformes,AVIBASE-E2BF60CF,5,2,3,0,4.0,10.6,7.4,4.2,5.3,14.5,72.1,21.2,51.0,29.4,51.0,12.0,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Generalist
Carpodacus davidianus,Fringillidae,Passeriformes,AVIBASE-540EE551,0,0,0,0,0.0,12.3,8.4,6.3,7.4,19.0,75.5,18.1,57.4,23.8,64.6,19.2,Inferred,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass,Carpodacus pulcherrimus,Shrubland,2,2,Herbivore,Granivore,Insessorial
Carpodacus dubius,Fringillidae,Passeriformes,AVIBASE-F048220F,4,2,2,0,4.0,11.5,8.7,6.5,7.8,21.5,84.4,15.7,68.7,18.6,76.0,31.0,DataFromSplit,NA,NO,NA,NA,Shrubland,2,2,Herbivore,Omnivore,Insessorial
Carpodacus edwardsii,Fringillidae,Passeriformes,AVIBASE-9C8F0B66,5,2,3,0,4.0,13.4,10.1,7.8,8.8,21.3,78.1,15.9,62.2,20.4,68.7,26.5,Dunning,NA,NO,NA,NA,Forest,2,2,Herbivore,Granivore,Terrestrial
Carpodacus erythrinus,Fringillidae,Passeriformes,AVIBASE-3A713345,8,3,5,0,4.0,12.0,8.0,6.8,7.9,16.4,80.2,24.7,55.8,30.8,58.6,24.0,Dunning,NA,NO,NA,NA,Shrubland,2,3,Herbivore,Granivore,Insessorial
Carpodacus formosanus,Fringillidae,Passeriformes,AVIBASE-9EFFB614,0,0,0,0,0.0,11.6,8.7,6.9,8.3,19.2,69.0,14.5,54.0,21.2,58.2,22.1,DataFromSplit,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Carpodacus vinaceus,Forest,2,1,Herbivore,Granivore,Insessorial
Carpodacus grandis,Fringillidae,Passeriformes,AVIBASE-2FF259E0,4,2,2,0,3.0,15.9,11.7,7.8,10.8,19.2,88.6,21.8,66.8,24.6,73.9,33.4,DataFromSplit,NA,NO,NA,NA,Forest,2,2,Herbivore,Omnivore,Insessorial
Carpodacus pulcherrimus,Fringillidae,Passeriformes,AVIBASE-60DE3563,9,5,4,0,9.0,12.3,8.4,6.3,7.4,19.0,75.5,18.1,57.4,23.8,64.6,19.2,Dunning,NA,NO,NA,NA,Shrubland,2,2,Herbivore,Granivore,Insessorial
Carpodacus puniceus,Fringillidae,Passeriformes,AVIBASE-261F5C16,5,1,4,0,4.0,17.1,12.6,8.3,9.1,24.0,107.7,26.5,80.1,24.8,83.4,46.6,Dunning,NA,NO,NA,NA,Grassland,3,2,Herbivore,Omnivore,Terrestrial
Carpodacus rhodochlamys,Fringillidae,Passeriformes,AVIBASE-6670D2A6,5,2,3,0,4.0,16.2,10.9,8.1,10.6,22.7,87.5,17.6,70.0,20.1,85.2,33.4,Dunning,NA,NO,NA,NA,Forest,2,2,Herbivore,Omnivore,Insessorial
