Name_Point,Latitude,Longitud,Habitat,Elevation,Slope,Distance to Edge,Number_tree_species,Tree_basal_area,Number_tree_individuals,Height_tallest_tree,Average_Canopy_Height,SE_canopy_height,Average_canopy_density,SE_canopy_density
PaRLSC01,8.879801,-82.757204,Sun,1487,99.5,120,2,3,3,11,0.4,1.264911064,13.55,11.28
PaRHSC05,8.882114,-82.756381,Sun,1495,100.5,60,4,15,4,13,0,0,15.50,17.26
PaRLSC06,8.870583,-82.775615,Sun,1308,94.5,90,2,0,4,9,1.9,4.115013163,21.38,24.95
PaRLSh06,8.87175,-82.773679,Shade,1350,96,70,5,6,12,23.5,11.95,6.609967221,85.26,5.30
PaRLSC05,8.874426,-82.772606,Sun,1362,106,40,3,3,1,24,4.55,8.135826121,17.42,25.72
PaRLSh05,8.875516,-82.770156,Shade,1376,103.5,40,4,5,6,15.5,3.8,6.236986452,48.21,30.22
PaRLSh04,8.87396,-82.766836,Shade,1395,94,80,9,6,9,17.5,0.9,2.846049894,40.88,21.26
PaRLF09,8.873913,-82.763989,Forest,1412,103.5,70,11,130,18,23.5,12.35,5.916314544,92.93,2.56
PaRLSh03,8.875169,-82.764776,Shade,1426,102.5,70,7,2,11,16,2.4,5.146735751,34.48,23.85
PaRLF01,8.858833,-82.74285,Forest,1489,96.5,80,10,130,22,20.5,11.55,4.232480229,87.91,4.30
PaRLF02,8.860733,-82.741416,Forest,1564,97,90,8,100,16,22,13.6,3.849963925,92.88,0.76
PaRLF03,8.862907,-82.742688,Forest,1522,99.5,50,7,55,17,30,14.2,7.33787738,91.00,3.01
PaRLF04,8.865902,-82.7422,Forest,1598,103,70,8,95,22,24.5,11.72222222,3.571686499,92.28,3.82
PaRLF05,8.865151,-82.739868,Forest,1708,100,100,6,85,22,25,16.2,3.713339318,90.90,5.31
PaRLF06,8.862607,-82.740121,Forest,1682,99,>200,6,120,23,20,12.9,3.878716855,94.51,2.64
PaRHSC02,8.884583,-82.754535,Sun,1511,98,>200,1,0,2,24.5,1.15,3.636619309,6.63,8.90
PaRHSC01,8.886176,-82.752635,Sun,1537,103.5,>200,1,3,1,14.5,0,0,5.54,8.97
PaRHSC04,8.885366,-82.759673,Sun,1486,96,130,1,0,2,15,0,0,6.04,7.29
PaRHF01,8.889565,-82.752007,Forest,1627,99.5,100,6,60,17,25.5,14.25,6.224949799,88.25,2.81
PaRHF02,8.891698,-82.751388,Forest,1730,102,>200,5,100,25,23,11.3,2.964606026,89.47,3.68
PaRHF03,8.893992,-82.75093,Forest,1816,107.5,160,10,70,17,23,14.1,3.963724399,86.58,3.64
PaRHF05,8.895886,-82.749644,Forest,1889,92,150,4,80,14,15,12.75,0.935414347,83.44,5.58
PaRHSC03,8.887265,-82.758362,Sun,1497,101,70,3,0,6,18,1.85,5.850213671,9.42,9.65
PaRHSh03,8.887063,-82.756181,Shade,1522,99,70,10,3,13,20,1,3.16227766,66.59,11.45
PaRLSh01,8.864334,-82.745143,Shade,1492,104.5,100,5,4,5,28,2.15,6.798896969,32.06,21.70
PaRLF07,8.85895,-82.746496,Forest,1510,99.5,50,13,70,10,22,10,6.568322247,87.05,3.74
PaRHSh06,8.89941,-82.72962,Shade,1901,101,80,9,4,15,24,10.3,9.687334228,76.94,9.05
PaRHSh05,8.900942,-82.733126,Shade,1848,106.5,90,4,0,8,5.5,0.95,2.006240265,28.58,29.33
PaRHF07,8.898438,-82.725577,Forest,1964,108,60,11,65,20,41,13.8,10.01998004,86.58,3.47
PaRHSh07,8.900214,-82.727306,Shade,1932,105.5,60,4,25,6,32,2.85,3.109573032,61.26,22.41
PaRHF06,8.899785,-82.735058,Forest,1799,81.5,70,12,120,23,31,13.85714286,9.973775137,91.47,2.40
PaRHF08,8.906941,-82.734887,Forest,1872,104.5,100,14,90,31,23.5,10.7,9.897249899,90.15,2.77
PaRHF09,8.907069,-82.731258,Forest,1884,111.5,>200,12,70,25,30,17.875,6.429563416,88.20,2.83
PaRHF10,8.906968,-82.726717,Forest,1910,104.5,>200,8,110,21,21.5,16,2.98142397,89.11,3.13
PaRHF11,8.909771,-82.725689,Forest,1953,101.5,60,7,50,32,26,16.14285714,6.094494002,89.29,1.90
PaRHSh01,8.903078,-82.739089,Shade,1773,103,40,7,0,12,26,5.625,8.052284503,50.44,17.14
PaRHSh04,8.902954,-82.741652,Shade,1772,95.5,40,6,5,13,18.5,2.833333333,6.072478901,29.07,25.62
PaRLSh07,8.855556,-82.757452,Shade,1391,104,100,5,5,12,25,3.3,8.028421735,55.18,25.77
PaRLSC08,8.853719,-82.759514,Sun,1377,100,60,1,0,2,5,0.5,1.58113883,3.51,10.07
PaRLSh08,8.853577,-82.761562,Shade,1324,99.5,60,6,1,18,23,1.95,4.387165625,44.85,18.16
PaRHF04,8.884367,-82.7617,Forest,1473,105.5,60,8,150,17,20,13.83333333,5.973901573,92.20,2.79
PaRLSC07,8.884867,-82.763433,Sun,1464,99,60,1,12,2,17,0,0,6.30,10.22
PaRHSC08,8.884102,-82.750893,Sun,1540,94,50,0,0,0,0,0,0,10.53,15.22
PaRHSC06,8.882068,-82.750183,Sun,1616,108.5,80,4,18,4,15,0.9,1.523883927,18.93,28.01
PaRHSC07,8.881779,-82.746603,Sun,1653,92,100,3,0,3,12,0.75,2.121320344,12.04,7.51
PaRLSh02,8.876371,-82.762914,Shade,1447,94.5,50,10,1,15,21,1.5,4.74341649,68.67,16.26
PaRLF08,8.874912,-82.762455,Forest,1428,104,60,15,70,32,22.5,10.6,5.414999744,93.94,1.27
PaRHSh02,8.8884,-82.752283,Shade,1595,95,40,7,4,11,26,9.75,7.379588968,84.95,6.13
PaHHSh03,8.653033,-82.218683,Shade,1020,106,40,12,3,8,19.5,2.611111111,6.470016315,51.02,35.42
PaHLSh04,8.654209,-82.230349,Shade,868,96,50,7,7,10,10,2.25,3.895510236,50.65,31.12
PaHHSh04,8.652247,-82.220909,Shade,1001,97,40,12,8,13,18,5,3.905124838,58.14,24.12
PaHHF02,8.671411,-82.218511,Forest,1305,102.5,50,12,100,18,23,9.75,4.991659711,88.20,1.90
PaHHSh05,8.669573,-82.217922,Shade,1209,99.5,40,7,3,4,14,4.7,5.718391382,67.24,22.92
PaHHF03,8.675481,-82.212908,Forest,1370,108,>200,15,80,22,21,13.5,5.891883036,86.77,1.90
PaHHF06,8.674305,-82.21492,Forest,1439,100.5,>200,12,200,10,18.5,12,2.863564213,81.98,9.27
PaHHF05,8.673986,-82.21719,Forest,1387,89,>200,8,100,24,20.5,12.625,2.688710967,84.61,5.41
PaHHF04,8.673351,-82.219378,Forest,1275,107,60,5,130,10,20.5,7.5,4.669047012,89.24,2.77
PaHHF01,8.656817,-82.2151,Forest,1149,91,160,6,120,9,17.5,11.1,2.776888747,85.96,3.71
PaHHSh02,8.653757,-82.216932,Shade,1015,108,40,7,8,3,19.5,3.277777778,6.339908867,39.76,25.53
